Date,Open,High,Low,Close,Adj Close,Volume
2020-11-24,2127.790039,2163.909912,2127.790039,2160.580078,2160.580078,0
2020-11-25,2161.169922,2161.659912,2149.570068,2158.969971,2158.969971,4921900
2020-11-27,2159.590088,2168.919922,2159.590088,2166.600098,2166.600098,0
2020-11-30,2166.850098,2166.850098,2137.320068,2154.290039,2154.290039,0
2020-12-01,2155.310059,2185.120117,2155.310059,2176.679932,2176.679932,0
2020-12-02,2176.189941,2180.209961,2162.770020,2179.129883,2179.129883,0
2020-12-03,2179.449951,2190.810059,2176.620117,2181.570068,2181.570068,0
2020-12-04,2182.139893,2204.129883,2182.139893,2204.090088,2204.090088,0
2020-12-07,2203.850098,2204.889893,2195.209961,2202.149902,2202.149902,0
2020-12-08,2202.639893,2214.139893,2194.379883,2210.939941,2210.939941,0
2020-12-09,2211.080078,2217.649902,2181.729980,2190.520020,2190.520020,0
2020-12-10,2188.889893,2197.000000,2173.310059,2193.510010,2193.510010,0
2020-12-11,2192.949951,2192.949951,2171.189941,2189.510010,2189.510010,4890200
2020-12-14,2190.090088,2211.260010,2182.600098,2182.830078,2182.830078,0
2020-12-15,2183.969971,2212.750000,2183.969971,2212.489990,2212.489990,0
2020-12-16,2212.800049,2220.770020,2208.889893,2215.179932,2215.179932,0
2020-12-17,2216.030029,2232.169922,2216.030029,2232.169922,2232.169922,0
2020-12-18,2232.449951,2236.459961,2211.860107,2227.000000,2227.000000,0
2020-12-21,2224.739990,2224.739990,2184.800049,2220.100098,2220.100098,0
2020-12-22,2220.120117,2225.419922,2212.179932,2220.370117,2220.370117,0
2020-12-23,2220.820068,2234.050049,2220.820068,2222.649902,2222.649902,0
2020-12-24,2226.149902,2229.050049,2220.989990,2228.629883,2228.629883,1923800
2020-12-28,2234.790039,2246.139893,2234.790039,2240.850098,2240.850098,0
2020-12-29,2241.850098,2252.760010,2228.590088,2232.010010,2232.010010,0
2020-12-30,2234.629883,2244.760010,2234.629883,2237.760010,2237.760010,0
2020-12-31,2237.699951,2250.550049,2233.090088,2248.439941,2248.439941,3514200
2021-01-04,2248.689941,2257.729980,2192.939941,2215.419922,2215.419922,0
2021-01-05,2215.340088,2239.379883,2212.290039,2233.699951,2233.699951,0
2021-01-06,2233.060059,2273.280029,2224.699951,2252.350098,2252.350098,0
2021-01-07,2254.840088,2292.439941,2254.840088,2288.439941,2288.439941,0
2021-01-08,2290.850098,2301.330078,2274.469971,2299.300049,2299.300049,0
2021-01-11,2296.830078,2296.949951,2276.669922,2286.520020,2286.520020,0
2021-01-12,2286.270020,2296.090088,2277.830078,2293.010010,2293.010010,0
2021-01-13,2292.760010,2302.699951,2285.739990,2295.139893,2295.139893,0
2021-01-14,2295.860107,2307.300049,2290.260010,2292.020020,2292.020020,0
2021-01-15,2291.949951,2291.949951,2261.639893,2273.879883,2273.879883,0
2021-01-19,2274.719971,2295.830078,2274.719971,2293.239990,2293.239990,0
2021-01-20,2294.959961,2326.870117,2294.959961,2322.870117,2322.870117,0
2021-01-21,2323.250000,2327.250000,2316.350098,2320.770020,2320.770020,0
2021-01-22,2320.100098,2322.100098,2306.949951,2317.260010,2317.260010,0
2021-01-25,2317.419922,2328.889893,2289.020020,2323.209961,2323.209961,0
2021-01-26,2323.439941,2333.189941,2314.800049,2315.709961,2315.709961,0
2021-01-27,2314.739990,2314.739990,2245.889893,2256.129883,2256.129883,0
2021-01-28,2256.810059,2302.040039,2256.810059,2278.689941,2278.689941,0
2021-01-29,2278.590088,2278.590088,2224.590088,2236.370117,2236.370117,0
2021-02-01,2236.750000,2279.270020,2236.750000,2274.540039,2274.540039,0
2021-02-02,2276.969971,2315.840088,2276.969971,2307.580078,2307.580078,0
2021-02-03,2307.550049,2319.320068,2300.719971,2309.939941,2309.939941,0
2021-02-04,2311.090088,2337.729980,2311.090088,2337.500000,2337.500000,0
2021-02-05,2337.550049,2352.909912,2337.550049,2350.169922,2350.169922,0
2021-02-08,2350.560059,2371.899902,2350.560059,2371.840088,2371.840088,0
